Player,Pos,MP,Min,SoTA,Saves,Save%,SoTA_per_90,Workload
Yazeed Abulaila,GK,3,270,16,8,50.0,5.333333333333334,Higher
Mahmoud Abunada,GK,3,270,22,12,54.5,7.333333333333334,Higher
Alisson,GK,5,450,18,14,77.8,3.6,Lower
Benjamin Asare,GK,3,225,10,8,80.0,4.0,Lower
Lawrence Ati-Zigi,GK,2,135,9,8,88.9,6.0,Higher
Ahmed Basil,GK,2,135,7,3,42.9,4.666666666666667,Higher
Patrick Beach,GK,4,388,17,14,82.4,3.9432989690721647,Lower
Alireza Beiranvand,GK,3,270,18,15,83.3,6.0,Higher
Oussama Benbot,GK,1,90,3,0,0.0,3.0,Lower
Yassine Bounou,GK,6,570,20,14,70.0,3.1578947368421053,Lower
Uğurcan Çakır,GK,3,270,13,8,61.5,4.333333333333333,Higher
Mouhib Chamakh,GK,1,90,6,1,16.7,6.0,Higher
Diogo Costa,GK,5,450,22,19,86.4,4.4,Higher
Thibaut Courtois,GK,6,550,20,14,70.0,3.2727272727272725,Lower
Maxime Crépeau,GK,5,450,12,6,50.0,2.4000000000000004,Lower
Max Crocombe,GK,3,270,21,11,52.4,7.0,Higher
Aymen Dahmen,GK,2,180,12,5,41.7,6.0,Higher
Mory Diaw,GK,3,238,7,4,57.1,2.6470588235294117,Lower
Yahia Fofana,GK,4,360,13,9,69.2,3.2499999999999996,Lower
Matt Freese,GK,4,360,13,8,61.5,3.2499999999999996,Lower
Hernán Galíndez,GK,4,360,13,9,69.2,3.2499999999999996,Lower
Orlando Gill,GK,5,480,29,23,79.3,5.4375,Higher
Angus Gunn,GK,3,270,12,8,66.7,4.0,Lower
Jalal Hassan,GK,2,135,16,8,50.0,10.666666666666668,Higher
Dean Henderson,GK,1,90,9,5,55.6,9.0,Higher
Gregor Kobel,GK,6,600,26,20,76.9,3.9000000000000004,Lower
Matej Kovar,GK,3,270,15,9,60.0,5.0,Higher
Senne Lammens,GK,1,20,3,2,66.7,13.5,Higher
Dominik Livaković,GK,4,360,17,10,58.8,4.25,Lower
Mike Maignan,GK,8,720,22,12,54.5,2.75,Lower
Emiliano Martínez,GK,8,810,28,20,71.4,3.1111111111111107,Lower
Édouard Mendy,GK,2,152,14,8,57.1,8.289473684210526,Higher
Orlando Mosquera,GK,3,270,11,7,63.6,3.666666666666667,Lower
Lionel Mpasi,GK,4,360,19,14,73.7,4.75,Higher
Fernando Muslera,GK,3,225,8,4,50.0,3.2,Lower
Abduvohid Nematov,GK,2,180,13,5,38.5,6.499999999999999,Higher
Manuel Neuer,GK,4,390,10,5,50.0,2.3076923076923075,Lower
Kristoffer Nordfeldt,GK,2,180,9,3,33.3,4.5,Higher
Ørjan Nyland,GK,5,480,22,15,68.2,4.125,Lower
Mohammed Al-Owais,GK,3,270,21,16,76.2,7.0,Higher
Jordan Pickford,GK,7,660,23,15,65.2,3.1363636363636367,Lower
Johny Placide,GK,3,270,19,11,57.9,6.333333333333334,Higher
Raúl Rangel,GK,5,437,11,8,72.7,2.265446224256293,Lower
Eloy Room,GK,3,270,29,20,69.0,9.666666666666666,Higher
Alexander Schlager,GK,4,360,22,13,59.1,5.5,Higher
Egil Selvik,GK,1,90,9,5,55.6,9.0,Higher
Kim Seung-gyu,GK,3,270,12,9,75.0,4.0,Lower
Mostafa Shobeir,GK,5,480,19,12,63.2,3.5625,Lower
Unai Simón,GK,8,750,11,9,90.9,1.32,Lower
Zion Suzuki,GK,4,360,17,12,70.6,4.25,Lower
Matt Turner,GK,1,90,3,0,0.0,3.0,Lower
Camilo Vargas,GK,5,480,7,6,85.7,1.3125,Lower
Nikola Vasilj,GK,4,360,14,6,42.9,3.5,Lower
Bart Verbruggen,GK,4,390,21,16,76.2,4.846153846153847,Higher
Vozinha,GK,4,390,23,18,78.3,5.3076923076923075,Higher
Jacob Widell Zetterström,GK,2,180,15,11,73.3,7.5,Higher
Ronwen Williams,GK,4,360,15,11,73.3,3.75,Lower
Utkir Yusupov,GK,1,90,4,1,25.0,4.0,Lower
Luca Zidane,GK,3,270,14,8,57.1,4.666666666666667,Higher
