Player,Pos,MP,Mn/MP,Player_ID
Brandon Mechele,DF,6,95.0,0a6dbbf7
Ladislav Krejčí,DF,3,90.0,5b5c2228
Grant Hanley,DF,2,90.0,e9254eec
Abdallah Nasib,DF,3,87.0,aaab3072
Pau Cubarsí,DF,8,94.0,cc7888f3
Ricardo Adé,DF,3,90.0,a9ee5e81
Jack Hendry,DF,3,90.0,ffed43e3
Ali Lajami,DF,3,50.0,46f7ab4f
Gabriel Magalhães,DF,5,90.0,67ac5bb8
Rafik Belghali,DF,4,83.0,0abcb968
Husam Abu Dahab,DF,2,89.0,300aaeb6
Joško Gvardiol,DF,4,35.0,5ad50391
Liberato Cacace,DF,3,73.0,dd86e8e4
Noussair Mazraoui,DF,6,80.0,b74277a0
Torbjørn Heggem,DF,5,89.0,834fea76
Juan Cáceres,DF,5,87.0,db887bdf
Tomáš Holeš,DF,2,77.0,e03c2d97
Gonzalo Montiel,DF,6,32.0,374d5158
Anass Salah-Eddine,DF,4,53.0,0d274394
Shoja' Khalilzadeh,DF,3,90.0,0aed29f1
Ramy Rabia,DF,5,74.0,e32afa36
Rebin Sulaka,DF,2,22.0,928bec06
Antonio Rüdiger,DF,4,66.0,18b896d6
Tomás Araújo,DF,1,90.0,0fa11d7d
Sead Kolašinac,DF,4,84.0,3935e52e
Pico,DF,4,98.0,faef0f92
Saud Abdulhamid,DF,3,90.0,caa254e4
Lucas Digne,DF,6,77.0,1b84dbe1
Félix Torres Caicedo,DF,1,6.0,c0a8860f
Mohamed Amine Ben Hamida,DF,3,67.0,2a5e8f82
Steve Kapuadi,DF,2,90.0,3f3c941a
Axel Tuanzebe,DF,4,90.0,2baec6ce
Mathías Olivera,DF,3,90.0,41c12f75
Nathaniel Brown,DF,3,94.0,abc79c47
David Alaba,DF,4,69.0,05439de2
Shogo Taniguchi,DF,3,77.0,828a9c47
Issa Diop,DF,5,95.0,a712ca2b
Alan Franco,DF,4,63.0,c76b161b
Yazan Al-Arab,DF,3,90.0,32878a09
Eray Cömert,DF,1,31.0,15937e17
Marco Friedl,DF,1,24.0,f86ad3f5
El Hadji Malick Diouf,DF,3,57.0,bd5eb2e5
Davinson Sánchez,DF,5,96.0,da7b447d
Jorrel Hato,DF,1,35.0,bde35051
Mohannad Abu Taha,DF,3,88.0,5c4bac6c
Nahuel Molina,DF,7,75.0,23610943
Takehiro Tomiyasu,DF,3,61.0,b3af9be1
Merchas Doski,DF,3,90.0,fdf4cfe5
Gustavo Velásquez,DF,5,49.0,b99b4cf5
Tim Ream,DF,4,90.0,28b40c9c
Kojo Peprah Oppong,DF,2,25.0,37a6fdb3
Virgil van Dijk,DF,4,98.0,e06683ca
Kevin Danso,DF,4,60.0,6e33125f
Callan Elliot,DF,1,13.0,9d6968a3
Johan Mojica,DF,4,98.0,608f2092
Omar Rekik,DF,2,90.0,e69e0f7b
Tim Payne,DF,3,75.0,4e86877c
Dennis Hadžikadunić,DF,1,27.0,82cfae2a
Denis Zakaria,DF,4,89.0,384d58d9
Steven Moreira,DF,4,75.0,f10983ae
Marc Pubill,DF,1,1.0,365113c0
John Stones,DF,5,66.0,5eecec3d
Jerome Opoku,DF,3,90.0,091d6ee5
Miles Robinson,DF,1,90.0,782a95d9
Ousmane Diomande,DF,1,90.0,394be156
Mbekezeli Mbokazi,DF,4,90.0,13398d42
Derek Cornelius,DF,4,79.0,577744b8
Juriën Gaari,DF,2,83.0,bf7a9d1a
Mohammad Abu Hasheesh,DF,1,6.0,72c2fa7a
