Player,Pos,MP,Mn/MP,Player_ID
Brenden Aaronson,MF,1,76.0,5bc43860
Thelo Aasgaard,MF,1,90.0,c88a28b9
Hossam Abdelmaguid,DF,2,30.0,accbfc94
Mohamed Abdelmonem,DF,2,7.0,bff15d74
Ali Abdi,DF,3,90.0,ad7cdb35
Saud Abdulhamid,DF,3,90.0,caa254e4
Abdulla Abdullaev,DF,2,90.0,03053fbf
Husam Abu Dahab,DF,2,89.0,300aaeb6
Mohammad Abu Hasheesh,DF,1,6.0,72c2fa7a
Mohannad Abu Taha,DF,3,88.0,5c4bac6c
Mo Abualnadi,DF,1,71.0,4bff62e4
Jayden Adams,MF,3,39.0,259affab
Tyler Adams,MF,4,85.0,2b09d998
Ricardo Adé,DF,3,90.0,a9ee5e81
Ibrahim Adel,MF,1,3.0,4869216e
Jonas Adjetey,DF,3,75.0,bdbf78cd
Emmanuel Agbadou,DF,3,90.0,75f1ed80
Ali Ahmed,MF,4,59.0,540a5be1
Homam Ahmed,DF,2,61.0,a62fa158
Rayan Aït-Nouri,DF,4,71.0,9b398aea
Kristoffer Ajer,DF,5,96.0,a8c0acb7
Manuel Akanji,DF,6,100.0,89ac64a6
Nathan Aké,DF,3,57.0,eaeca114
Yunus Akgün,MF,2,44.0,1453e3cf
Maghnes Akliouche,MF,1,8.0,b625b241
David Alaba,DF,4,69.0,05439de2
Kerim Alajbegović,MF,4,69.0,f3d9291e
Jordy Alcivar,MF,1,45.0,6e98c19f
Omar Alderete,DF,4,80.0,bb08bce9
Hussein Ali,DF,2,81.0,b8a919ad
Khojiakbar Alijonov,MF,2,68.0,e53cbd7a
Thiago Almada,MF,5,48.0,27f33438
Júnior Alonso,DF,5,78.0,b18a3023
Ayoube Amaimouni,MF,2,9.0,c5a07a5e
Nadiem Amiri,MF,2,21.0,555d5edd
Amir Al Ammari,MF,3,82.0,9f65be73
Sofyan Amrabat,MF,3,49.0,5a2cb25d
Abdulelah Al-Amri,DF,3,80.0,fd0affe3
Youssef Amyn,MF,1,31.0,10c12f22
Elliot Anderson,MF,8,79.0,de31038e
Andrés Andrade Cedeño,DF,3,90.0,6ea23758
Fredrik André Bjørkan,DF,1,45.0,3724baa1
Nilson Angulo,MF,4,55.0,a9b9d89c
Houssem Aouar,MF,3,58.0,a5db0bec
Yazan Al-Arab,DF,3,90.0,32878a09
Tomás Araújo,DF,1,90.0,0fa11d7d
Telmo Arcanjo,MF,2,29.0,c692cef2
Max Arfsten,MF,1,1.0,668f881e
Jhon Arias,MF,5,75.0,86d96066
Santiago Arias,DF,1,86.0,fdd60087
Emam Ashour,MF,5,72.0,31b7d437
Rustam Ashurmatov,DF,3,85.0,a0ecd397
Marwan Attia,MF,5,87.0,1ea3d7ec
Yasin Ayari,MF,4,85.0,f173303a
