Player,Pos,MP,Min,Mn/MP,Player_ID,Calculated_Mn_MP,Mn_MP_Difference
Brenden Aaronson,MF,1,76.0,76.0,5bc43860,76.0,0.0
Thelo Aasgaard,MF,1,90.0,90.0,c88a28b9,90.0,0.0
Hossam Abdelmaguid,DF,2,59.0,30.0,accbfc94,29.5,0.5
Mohamed Abdelmonem,DF,2,14.0,7.0,bff15d74,7.0,0.0
Ali Abdi,DF,3,269.0,90.0,ad7cdb35,89.66666666666667,0.3333333333333286
Saud Abdulhamid,DF,3,269.0,90.0,caa254e4,89.66666666666667,0.3333333333333286
Abdulla Abdullaev,DF,2,180.0,90.0,03053fbf,90.0,0.0
Husam Abu Dahab,DF,2,178.0,89.0,300aaeb6,89.0,0.0
Mohammad Abu Hasheesh,DF,1,6.0,6.0,72c2fa7a,6.0,0.0
Mohannad Abu Taha,DF,3,264.0,88.0,5c4bac6c,88.0,0.0
Mo Abualnadi,DF,1,71.0,71.0,4bff62e4,71.0,0.0
Jayden Adams,MF,3,116.0,39.0,259affab,38.666666666666664,0.3333333333333357
Tyler Adams,MF,4,341.0,85.0,2b09d998,85.25,0.25
Ricardo Adé,DF,3,270.0,90.0,a9ee5e81,90.0,0.0
Ibrahim Adel,MF,1,3.0,3.0,4869216e,3.0,0.0
Jonas Adjetey,DF,3,225.0,75.0,bdbf78cd,75.0,0.0
Emmanuel Agbadou,DF,3,270.0,90.0,75f1ed80,90.0,0.0
Ali Ahmed,MF,4,234.0,59.0,540a5be1,58.5,0.5
Homam Ahmed,DF,2,122.0,61.0,a62fa158,61.0,0.0
Rayan Aït-Nouri,DF,4,284.0,71.0,9b398aea,71.0,0.0
Kristoffer Ajer,DF,5,480.0,96.0,a8c0acb7,96.0,0.0
Manuel Akanji,DF,6,600.0,100.0,89ac64a6,100.0,0.0
Nathan Aké,DF,3,170.0,57.0,eaeca114,56.666666666666664,0.3333333333333357
Yunus Akgün,MF,2,88.0,44.0,1453e3cf,44.0,0.0
Maghnes Akliouche,MF,1,8.0,8.0,b625b241,8.0,0.0
David Alaba,DF,4,275.0,69.0,05439de2,68.75,0.25
Kerim Alajbegović,MF,4,277.0,69.0,f3d9291e,69.25,0.25
Jordy Alcivar,MF,1,45.0,45.0,6e98c19f,45.0,0.0
Omar Alderete,DF,4,320.0,80.0,bb08bce9,80.0,0.0
Hussein Ali,DF,2,162.0,81.0,b8a919ad,81.0,0.0
Khojiakbar Alijonov,MF,2,135.0,68.0,e53cbd7a,67.5,0.5
Thiago Almada,MF,5,241.0,48.0,27f33438,48.2,0.20000000000000284
Júnior Alonso,DF,5,390.0,78.0,b18a3023,78.0,0.0
Ayoube Amaimouni,MF,2,18.0,9.0,c5a07a5e,9.0,0.0
Nadiem Amiri,MF,2,42.0,21.0,555d5edd,21.0,0.0
Amir Al Ammari,MF,3,247.0,82.0,9f65be73,82.33333333333333,0.3333333333333286
