Player,Pos,MP,Min,Mn/MP,Player_ID,Calculated_Mn_MP,Mn_MP_Difference
Brandon Mechele,DF,6,570.0,95.0,0a6dbbf7,95.0,0.0
Ladislav Krejčí,DF,3,270.0,90.0,5b5c2228,90.0,0.0
Grant Hanley,DF,2,180.0,90.0,e9254eec,90.0,0.0
Abdallah Nasib,DF,3,260.0,87.0,aaab3072,86.66666666666667,0.3333333333333286
Pau Cubarsí,DF,8,750.0,94.0,cc7888f3,93.75,0.25
Ricardo Adé,DF,3,270.0,90.0,a9ee5e81,90.0,0.0
Jack Hendry,DF,3,270.0,90.0,ffed43e3,90.0,0.0
Ali Lajami,DF,3,149.0,50.0,46f7ab4f,49.666666666666664,0.3333333333333357
Gabriel Magalhães,DF,5,450.0,90.0,67ac5bb8,90.0,0.0
Rafik Belghali,DF,4,331.0,83.0,0abcb968,82.75,0.25
Husam Abu Dahab,DF,2,178.0,89.0,300aaeb6,89.0,0.0
Joško Gvardiol,DF,4,139.0,35.0,5ad50391,34.75,0.25
Liberato Cacace,DF,3,220.0,73.0,dd86e8e4,73.33333333333333,0.3333333333333286
Noussair Mazraoui,DF,6,477.0,80.0,b74277a0,79.5,0.5
Torbjørn Heggem,DF,5,443.0,89.0,834fea76,88.6,0.4000000000000057
Juan Cáceres,DF,5,436.0,87.0,db887bdf,87.2,0.20000000000000284
Tomáš Holeš,DF,2,153.0,77.0,e03c2d97,76.5,0.5
Gonzalo Montiel,DF,6,192.0,32.0,374d5158,32.0,0.0
Anass Salah-Eddine,DF,4,212.0,53.0,0d274394,53.0,0.0
Shoja' Khalilzadeh,DF,3,270.0,90.0,0aed29f1,90.0,0.0
Ramy Rabia,DF,5,372.0,74.0,e32afa36,74.4,0.4000000000000057
Rebin Sulaka,DF,2,43.0,22.0,928bec06,21.5,0.5
Antonio Rüdiger,DF,4,262.0,66.0,18b896d6,65.5,0.5
Tomás Araújo,DF,1,90.0,90.0,0fa11d7d,90.0,0.0
Sead Kolašinac,DF,4,337.0,84.0,3935e52e,84.25,0.25
Pico,DF,4,390.0,98.0,faef0f92,97.5,0.5
Saud Abdulhamid,DF,3,269.0,90.0,caa254e4,89.66666666666667,0.3333333333333286
Lucas Digne,DF,6,463.0,77.0,1b84dbe1,77.16666666666667,0.1666666666666714
Félix Torres Caicedo,DF,1,6.0,6.0,c0a8860f,6.0,0.0
Mohamed Amine Ben Hamida,DF,3,202.0,67.0,2a5e8f82,67.33333333333333,0.3333333333333286
Steve Kapuadi,DF,2,180.0,90.0,3f3c941a,90.0,0.0
Axel Tuanzebe,DF,4,360.0,90.0,2baec6ce,90.0,0.0
Mathías Olivera,DF,3,270.0,90.0,41c12f75,90.0,0.0
Nathaniel Brown,DF,3,282.0,94.0,abc79c47,94.0,0.0
David Alaba,DF,4,275.0,69.0,05439de2,68.75,0.25
Shogo Taniguchi,DF,3,232.0,77.0,828a9c47,77.33333333333333,0.3333333333333286
Issa Diop,DF,5,476.0,95.0,a712ca2b,95.2,0.20000000000000284
Alan Franco,DF,4,251.0,63.0,c76b161b,62.75,0.25
Yazan Al-Arab,DF,3,270.0,90.0,32878a09,90.0,0.0
Eray Cömert,DF,1,31.0,31.0,15937e17,31.0,0.0
Marco Friedl,DF,1,24.0,24.0,f86ad3f5,24.0,0.0
El Hadji Malick Diouf,DF,3,171.0,57.0,bd5eb2e5,57.0,0.0
Davinson Sánchez,DF,5,480.0,96.0,da7b447d,96.0,0.0
Jorrel Hato,DF,1,35.0,35.0,bde35051,35.0,0.0
Mohannad Abu Taha,DF,3,264.0,88.0,5c4bac6c,88.0,0.0
Nahuel Molina,DF,7,528.0,75.0,23610943,75.42857142857143,0.4285714285714306
Takehiro Tomiyasu,DF,3,184.0,61.0,b3af9be1,61.333333333333336,0.3333333333333357
Merchas Doski,DF,3,270.0,90.0,fdf4cfe5,90.0,0.0
Gustavo Velásquez,DF,5,246.0,49.0,b99b4cf5,49.2,0.20000000000000284
Tim Ream,DF,4,360.0,90.0,28b40c9c,90.0,0.0
Kojo Peprah Oppong,DF,2,49.0,25.0,37a6fdb3,24.5,0.5
Virgil van Dijk,DF,4,390.0,98.0,e06683ca,97.5,0.5
Kevin Danso,DF,4,241.0,60.0,6e33125f,60.25,0.25
Callan Elliot,DF,1,13.0,13.0,9d6968a3,13.0,0.0
Johan Mojica,DF,4,390.0,98.0,608f2092,97.5,0.5
Omar Rekik,DF,2,180.0,90.0,e69e0f7b,90.0,0.0
Tim Payne,DF,3,224.0,75.0,4e86877c,74.66666666666667,0.3333333333333286
Dennis Hadžikadunić,DF,1,27.0,27.0,82cfae2a,27.0,0.0
Denis Zakaria,DF,4,357.0,89.0,384d58d9,89.25,0.25
Steven Moreira,DF,4,301.0,75.0,f10983ae,75.25,0.25
Marc Pubill,DF,1,1.0,1.0,365113c0,1.0,0.0
John Stones,DF,5,330.0,66.0,5eecec3d,66.0,0.0
Jerome Opoku,DF,3,270.0,90.0,091d6ee5,90.0,0.0
Miles Robinson,DF,1,90.0,90.0,782a95d9,90.0,0.0
Ousmane Diomande,DF,1,90.0,90.0,394be156,90.0,0.0
Mbekezeli Mbokazi,DF,4,360.0,90.0,13398d42,90.0,0.0
Derek Cornelius,DF,4,315.0,79.0,577744b8,78.75,0.25
Juriën Gaari,DF,2,166.0,83.0,bf7a9d1a,83.0,0.0
Mohammad Abu Hasheesh,DF,1,6.0,6.0,72c2fa7a,6.0,0.0
Scott McKenna,DF,1,90.0,90.0,4e5a4cbc,90.0,0.0
Abdülkerim Bardakcı,DF,3,265.0,88.0,5d9cff53,88.33333333333333,0.3333333333333286
Andrés Andrade Cedeño,DF,3,270.0,90.0,6ea23758,90.0,0.0
Alidu Seidu,DF,1,78.0,78.0,cea59f02,78.0,0.0
Pathé Ciss,DF,4,184.0,46.0,9a0408b6,46.0,0.0
Saed Al-Rosan,DF,1,10.0,10.0,f3115445,10.0,0.0
Saleh Hardani,DF,2,90.0,45.0,3a9b682b,45.0,0.0
Ismail Jakobs,DF,3,219.0,73.0,a0415710,73.0,0.0
Chadi Riad,DF,4,344.0,86.0,b3b9b8b8,86.0,0.0
Ali Nemati,DF,3,270.0,90.0,19a221f7,90.0,0.0
Junnosuke Suzuki,DF,2,43.0,22.0,77428b1e,21.5,0.5
Jhon Lucumí,DF,5,478.0,96.0,80490d7f,95.6,0.4000000000000057
João Paulo Fernandes,DF,2,105.0,53.0,afcac9da,52.5,0.5
Nico Elvedi,DF,6,600.0,100.0,48035304,100.0,0.0
Luc De Fougerolles,DF,5,372.0,74.0,45c427ff,74.4,0.4000000000000057
Moteb Al-Harbi,DF,3,188.0,63.0,1d88554c,62.666666666666664,0.3333333333333357
Alexandro Maidana,DF,2,55.0,28.0,4d0d5020,27.5,0.5
Joshua Kimmich,DF,4,351.0,88.0,49296448,87.75,0.25
Hussein Ali,DF,2,162.0,81.0,b8a919ad,81.0,0.0
Boualem Khoukhi,DF,3,270.0,90.0,7be5ad52,90.0,0.0
Guéla Doué,DF,4,277.0,69.0,b4ef3fb5,69.25,0.25
Jorge Sánchez,DF,4,348.0,87.0,c8d1c3a5,87.0,0.0
Piero Hincapié,DF,4,339.0,85.0,0c7a48f8,84.75,0.25
Krépin Diatta,DF,4,390.0,98.0,8104e41e,97.5,0.5
Manuel Akanji,DF,6,600.0,100.0,89ac64a6,100.0,0.0
Jonas Adjetey,DF,3,225.0,75.0,bdbf78cd,75.0,0.0
Derrick Luckassen,DF,2,180.0,90.0,30a09cb5,90.0,0.0
Julian Ryerson,DF,4,223.0,56.0,009a4f60,55.75,0.25
Gustavo Gómez,DF,5,480.0,96.0,d5ce52a5,96.0,0.0
Hannes Delcroix,DF,3,270.0,90.0,b737f944,90.0,0.0
Stjepan Radeljić,DF,2,180.0,90.0,30e03a25,90.0,0.0
Nawaf Boushal,DF,2,91.0,46.0,7dc1c2c6,45.5,0.5
Nathan Aké,DF,3,170.0,57.0,eaeca114,56.666666666666664,0.3333333333333357
Robin Hranáč,DF,3,270.0,90.0,95d5aea2,90.0,0.0
Kalidou Koulibaly,DF,2,161.0,81.0,da974c7b,80.5,0.5
Jakhongir Urozov,DF,2,95.0,48.0,71210bed,47.5,0.5
Amar Dedić,DF,3,270.0,90.0,bc6e544a,90.0,0.0
Redouane Halhal,DF,2,180.0,90.0,e17c2cec,90.0,0.0
Merih Demiral,DF,2,180.0,90.0,e3cceee6,90.0,0.0
Riechedly Bazoer,DF,1,90.0,90.0,da59a197,90.0,0.0
Mark McKenzie,DF,1,90.0,90.0,a5f5d094,90.0,0.0
Maxence Lacroix,DF,3,241.0,80.0,277c49ed,80.33333333333333,0.3333333333333286
Anthony Ralston,DF,2,11.0,6.0,56208b05,5.5,0.5
Luka Vušković,DF,1,65.0,65.0,fd6bdbce,65.0,0.0
Omar Alderete,DF,4,320.0,80.0,bb08bce9,80.0,0.0
Silvan Widmer,DF,5,175.0,35.0,f68b64fc,35.0,0.0
Lee Gi-hyuk,DF,3,270.0,90.0,18c8c3c7,90.0,0.0
Ferdi Kadioglu,DF,2,159.0,80.0,66c52a77,79.5,0.5
Guillermo Varela,DF,3,270.0,90.0,5c961282,90.0,0.0
Henrik Falchener,DF,1,65.0,65.0,57fe6b9b,65.0,0.0
Nico Schlotterbeck,DF,2,135.0,68.0,34e12499,67.5,0.5
Aïssa Mandi,DF,4,360.0,90.0,fbd6378b,90.0,0.0
Armando Obispo,DF,3,270.0,90.0,2ffa6348,90.0,0.0
Abdoulaye Seck,DF,1,57.0,57.0,f07a0fe5,57.0,0.0
Renato Veiga,DF,5,450.0,90.0,fc8fcbd1,90.0,0.0
Hossein Kanaanizadegan,DF,2,135.0,68.0,24353c25,67.5,0.5
Ró-Ró,DF,3,270.0,90.0,8735fe66,90.0,0.0
Alessandro Circati,DF,4,390.0,98.0,1223765c,97.5,0.5
Juan Manuel Sanabria,DF,3,204.0,68.0,f1d74479,68.0,0.0
Yan Valery,DF,3,251.0,84.0,531a4aa8,83.66666666666667,0.3333333333333286
César Montes,DF,4,314.0,79.0,28e957d7,78.5,0.5
Çağlar Söyüncü,DF,1,7.0,7.0,21166ff4,7.0,0.0
Ko Itakura,DF,2,128.0,64.0,97d545ae,64.0,0.0
Michael Boxall,DF,3,207.0,69.0,6bfa0d3a,69.0,0.0
David Møller Wolfe,DF,5,430.0,86.0,9affc5f2,86.0,0.0
Lisandro Martínez,DF,7,624.0,89.0,bac46a10,89.14285714285714,0.1428571428571388
Gideon Mensah,DF,4,360.0,90.0,9bdd8118,90.0,0.0
Mohamed Hany,DF,5,480.0,96.0,9bcf1513,96.0,0.0
Douglas Santos,DF,5,441.0,88.0,c50e5bba,88.2,0.20000000000000284
Jan Paul van Hecke,DF,4,390.0,98.0,4fd08daa,97.5,0.5
Arthur Theate,DF,3,228.0,76.0,df8d6029,76.0,0.0
Nicolás Tagliafico,DF,7,476.0,68.0,f0661424,68.0,0.0
Dayot Upamecano,DF,8,660.0,83.0,d248cd8f,82.5,0.5
Facundo Medina,DF,5,308.0,62.0,6f5ec8bb,61.6,0.3999999999999986
Nuno Mendes,DF,5,395.0,79.0,f20e4cc9,79.0,0.0
Ali Abdi,DF,3,269.0,90.0,ad7cdb35,89.66666666666667,0.3333333333333286
Akam Hashim,DF,3,270.0,90.0,f8416e89,90.0,0.0
Ghislain Konan,DF,3,269.0,90.0,6b2c894b,89.66666666666667,0.3333333333333286
Lucas Mendes,DF,1,4.0,4.0,5169f27f,4.0,0.0
Theo Hernández,DF,5,257.0,51.0,d4c9725f,51.4,0.3999999999999986
